OBJECTID,id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
5090,B0FFLGKRO1,[],郑远元,医疗保健服务;医疗保健服务场所;医疗保健服务场所,天通庵路768号,13522897.16,3667249.196,090000,310000,上海市,21,上海市,310109,虹口区,
5091,B0FFFFID29,[],上海孟长民口腔诊所,医疗保健服务;诊所;诊所,四川北路1856弄25-27号,13523654.57,3666661.47,090300,310000,上海市,21,上海市,310109,虹口区,
5092,B0FFLBX03W,[],海军医学研究所门诊室制剂室,医疗保健服务;诊所;诊所,复兴岛公园西北(共青路西),13532143.57,3670132.497,090300,310000,上海市,21,上海市,310110,杨浦区,
5093,B00154C8EA,[],高行社区卫生服务中心,医疗保健服务;综合医院;卫生院,金高路180号(近万安街),13537212.06,3671143.382,090102,310000,上海市,21,上海市,310115,浦东新区,
5094,B0HDDN873U,[],珍奥(万安街店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,高行镇万安街152号,13537627.95,3671203.047,090000,310000,上海市,21,上海市,310115,浦东新区,
5095,B0GKMAPWYY,[],匮龙中医诊所,医疗保健服务;诊所;诊所,金高路88-1附近,13537140.82,3671343.224,090300,310000,上海市,21,上海市,310115,浦东新区,
5096,B0FFKS7DKY,[],世龙世家,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金高路82号附近,13537154.51,3671318.341,090000,310000,上海市,21,上海市,310115,浦东新区,
5097,B0G3DKYF6Z,[],高行社区卫生服务中心-预防接种门诊,医疗保健服务;诊所;诊所,金高路180号,13537244.01,3671166.18,090300,310000,上海市,21,上海市,310115,浦东新区,
5098,B0FFHGD12X,[],虹口区精神卫生中心心理咨询与治疗中心,医疗保健服务;专科医院;专科医院,同心路138号精神卫生中心,13522757.34,3667455.747,090200,310000,上海市,21,上海市,310109,虹口区,
5099,B0FFMB5VRA,[],恒心社区家庭医生诊所,医疗保健服务;诊所;诊所,同心路与西江湾路交叉路口西侧(同心苑),13522780.6,3667443.114,090300,310000,上海市,21,上海市,310109,虹口区,
5100,B0FFGTHOJ6,[],精武中医堂,医疗保健服务;医疗保健服务场所;医疗保健服务场所,四川北路1702弄32号,13523569.41,3666307.129,090000,310000,上海市,21,上海市,310109,虹口区,
5101,B0G0ASUNTJ,[],月子印象产后恢复中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,泾波路178附近,13471278.64,3618702.677,090000,310000,上海市,21,上海市,310116,金山区,
5102,B0FFK6TY1H,[],四川北社区卫生服务中心-预防接种门诊,医疗保健服务;诊所;诊所,东宝兴路326号,13523155.64,3666354.79,090300,310000,上海市,21,上海市,310109,虹口区,
5103,B0FFGSSC8E,[],虹口区社区卫生服务指导中心社区精神卫生指导分中心,医疗保健服务;综合医院;卫生院,同心路159号,13522794.52,3667483.097,090102,310000,上海市,21,上海市,310109,虹口区,
5104,B00157I0TR,B001544A56,虹口区精神卫生中心社区药物维持治疗门诊,医疗保健服务;诊所;诊所,同心路130号,13522766.58,3667453.403,090300,310000,上海市,21,上海市,310109,虹口区,
5105,B00155747I,[],华东医院闵行门诊部,医疗保健服务;综合医院;三级甲等医院,春申路2869号(莲花南路口),13514962.41,3646757.083,090101,310000,上海市,21,上海市,310112,闵行区,
5106,B0FFHN76NR,[],上海市老年医学中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,春潮路与春申路交叉口东北100米,13515679.98,3647220.47,090000,310000,上海市,21,上海市,310112,闵行区,
5107,B0G02R6BJU,[],上海慧眼视力养护,医疗保健服务;医疗保健服务场所;医疗保健服务场所,梅富路159号附7号,13515843.84,3646984.874,090000,310000,上海市,21,上海市,310112,闵行区,
5108,B0FFF2RTJ6,[],华东医院闵行分院,医疗保健服务;综合医院;综合医院|医疗保健服务;诊所;诊所,梅陇镇春申路2869号莲花南路,13514993.92,3646736.021,090100|090300,310000,上海市,21,上海市,310112,闵行区,
5109,B0FFKRKEYB,[],橙色爱人,医疗保健服务;医疗保健服务场所;医疗保健服务场所,行泰路281弄26号,13537578.3,3670575.791,090000,310000,上海市,21,上海市,310115,浦东新区,
5110,B00156O9FD,[],头桥社区卫生服务中心,医疗保健服务;综合医院;卫生院,头桥镇头桥东路386号,13541920.65,3625739.368,090102,310000,上海市,21,上海市,310120,奉贤区,
5111,B0FFI0PUC1,[],太源堂养生馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,头桥东路329号附近,13542001.81,3625657.986,090000,310000,上海市,21,上海市,310120,奉贤区,
5112,B0FFM5U2FX,[],奉华口腔门诊部,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新奉公路与头桥中路交叉路口南侧,13541586.36,3625738.07,090000,310000,上海市,21,上海市,310120,奉贤区,
5113,B0HGTG7LTF,[],社区卫生,医疗保健服务;诊所;诊所,秦阳路与秦建路交叉路口往东约50米,13500065.97,3604667.799,090300,310000,上海市,21,上海市,310116,金山区,
5114,B00153A6BF,[],上海大华福利院,体育休闲服务;度假疗养场所;疗养院,颛桥镇中春路2626号,13512376.46,3641764.948,080402,310000,上海市,21,上海市,310112,闵行区,
5115,B00156EGEH,[],新海镇社区卫生服务中心,医疗保健服务;综合医院;卫生院,北沿公路3338号,13502792.19,3739365.072,090102,310000,上海市,21,上海市,310151,崇明区,
5116,B0FFJIXF01,[],新海镇卫生服务中心充电站,医疗保健服务;医疗保健服务场所;医疗保健服务场所,北沿公路3338号,13502800.42,3739353.675,090000,310000,上海市,21,上海市,310151,崇明区,
5117,B00156OCYT,B0FFF85Q69,盛桥社区卫生服务中心,医疗保健服务;综合医院;卫生院,外环以外宝山区盛桥一村26号,13514614.76,3691603.566,090102,310000,上海市,21,上海市,310113,宝山区,
5118,B0H6N5DRAV,[],牛云新零售24小时成人用品无人店,医疗保健服务;医疗保健服务场所;医疗保健服务场所,鹤林路295号,13514335.46,3691708.743,090000,310000,上海市,21,上海市,310113,宝山区,
5119,B0FFK21TN9,[],甲冉生灰指甲3376号,医疗保健服务;医疗保健服务场所;医疗保健服务场所,古莲路239号,13514665.08,3691354.982,090000,310000,上海市,21,上海市,310113,宝山区,
5120,B0HB3994TX,[],盛桥社区卫生服务中心-预防接种门诊,医疗保健服务;诊所;诊所,盛桥一村26号,13514613.76,3691602.523,090300,310000,上海市,21,上海市,310113,宝山区,
5121,B0015583DQ,[],新康安养院,体育休闲服务;度假疗养场所;疗养院,呼兰路呼玛四村27号,13519311,3677463.69,080402,310000,上海市,21,上海市,310113,宝山区,
5122,B0FFGZ03I3,[],上海上体伤骨科医院,医疗保健服务;专科医院;骨科医院,五角场镇恒仁路188号,13527917,3673232.113,090206,310000,上海市,21,上海市,310110,杨浦区,
5123,B00156O33X,[],朱伟菊中医私立诊所,医疗保健服务;诊所;诊所,黑山路222号甲(近长海路),13527820.48,3672985.725,090300,310000,上海市,21,上海市,310110,杨浦区,
5124,B0HGUBCJDM,[],健康管理中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,嫩江路2562号,13528000.6,3673730.506,090000,310000,上海市,21,上海市,310110,杨浦区,
5125,B0G064LFJC,[],碧盛堂专业颈肩腰腿疼调理,医疗保健服务;医疗保健服务场所;医疗保健服务场所,世界路27号,13528179.38,3673913.711,090000,310000,上海市,21,上海市,310110,杨浦区,
5126,B0FFHKRPUH,[],市光社区卫生服务站家庭医生工作站,医疗保健服务;诊所;诊所,五角场国和路600弄小区,13527256.43,3673591.605,090300,310000,上海市,21,上海市,310110,杨浦区,
5127,B0FFJT9H33,[],金天国际生态保养体验馆(杨浦区中心店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,嫩江路2562号,13527997.15,3673737.412,090000,310000,上海市,21,上海市,310110,杨浦区,
5128,B00155HJ6O,B00155IVXN,上海体育学院保健门诊部,医疗保健服务;诊所;诊所,五角场镇恒仁路188号,13527913.99,3673172.958,090300,310000,上海市,21,上海市,310110,杨浦区,
5129,B0HG6YCBEI,[],灰指甲,医疗保健服务;医疗保健服务场所;医疗保健服务场所,福泉山路与泉中路交叉路口西侧(福泉二村南侧),13489991,3658763.945,090000,310000,上海市,21,上海市,310118,青浦区,
5130,B0FFG4J4PB,[],怡安养老院,体育休闲服务;度假疗养场所;疗养院,松花江路327号,13528845.85,3670552.994,080402,310000,上海市,21,上海市,310110,杨浦区,
5131,B0FFHDRMPI,[],扬州修(扦)脚,医疗保健服务;医疗保健服务场所;医疗保健服务场所,劳动街145号附近,13493460.72,3667137.718,090000,310000,上海市,21,上海市,310114,嘉定区,
5132,B0FFHN3ZY3,[],予康养生馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,嘉松中路187号附近,13493072.66,3666317.026,090000,310000,上海市,21,上海市,310118,青浦区,
5133,B0FFLEWR4X,[],扬州扦脚,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新黄路51号附近,13493609.11,3667323.039,090000,310000,上海市,21,上海市,310114,嘉定区,
5134,B0FFHDWTDI,[],中医坐堂医诊所(绿苑路),医疗保健服务;诊所;诊所,绿苑路35号2楼,13493594.19,3667518.781,090300,310000,上海市,21,上海市,310114,嘉定区,
5135,B00156ZGE0,[],上海纪亚珍内科诊所,医疗保健服务;诊所;诊所,福中路193号,13490158.65,3658520.32,090300,310000,上海市,21,上海市,310118,青浦区,
5136,B0FFIR1NNW,[],上海轩齐宠物诊所,医疗保健服务;医疗保健服务场所;医疗保健服务场所,绿杨路27号(桃浦四村),13508041.68,3669672.936,090000,310000,上海市,21,上海市,310107,普陀区,
5137,B0GK4COZED,[],社区卫生,医疗保健服务;综合医院;卫生院,[],13486738.02,3607976.568,090102,310000,上海市,21,上海市,310116,金山区,
5138,B00156GBFJ,[],廊下镇友好村卫生室,医疗保健服务;诊所;诊所,向友路东50米,13486733.46,3608016.229,090300,310000,上海市,21,上海市,310116,金山区,
5139,B001559IQQ,[],高桥社区卫生服务中心,医疗保健服务;综合医院;卫生院,欧高公路128号,13533992.15,3678289.69,090102,310000,上海市,21,上海市,310115,浦东新区,
5140,B0FFFZJXZD,[],上海史美祥口腔诊所,医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所,花山路987-991号,13534427.63,3678280.826,090202|090300,310000,上海市,21,上海市,310115,浦东新区,
