OBJECTID,id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
753,BV10384596,[],金家浜(公交站),交通设施服务;公交车站;公交车站相关,塘卫线,13495922.1,3621975.217,150700,310000,上海市,21,上海市,310116,金山区,
754,BV10034242,[],抚远路罗新路(公交站),交通设施服务;公交车站;公交车站相关,宝山84路,13509079.18,3688463.685,150700,310000,上海市,21,上海市,310113,宝山区,
755,BV10031887,[],威斯路杨高北一路(公交站),交通设施服务;公交车站;公交车站相关,1027路,13535022.63,3680075.744,150700,310000,上海市,21,上海市,310115,浦东新区,
756,BV11242324,[],骑塘4组(公交站),交通设施服务;公交车站;公交车站相关,奉贤19路,13520474.62,3616489.038,150700,310000,上海市,21,上海市,310120,奉贤区,
757,BV11121002,[],新塘路新粮路(公交站),交通设施服务;公交车站;公交车站相关,奉贤17路,13521072.63,3615895.161,150700,310000,上海市,21,上海市,310120,奉贤区,
758,BV11121005,[],如意小区(公交站),交通设施服务;公交车站;公交车站相关,奉贤17路,13521373.19,3615971.68,150700,310000,上海市,21,上海市,310120,奉贤区,
759,BV11121004,[],沪杭公路新塘路(公交站),交通设施服务;公交车站;公交车站相关,奉贤17路;奉贤19路,13520619.78,3615739.271,150700,310000,上海市,21,上海市,310120,奉贤区,
760,BV11328870,[],骑塘4组(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,,13520484.64,3616463.098,150700,310000,上海市,21,上海市,310120,奉贤区,
761,BV11542470,[],新寺加油站(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,石南专线,13520619.89,3615740.827,150700,310000,上海市,21,上海市,310120,奉贤区,
762,BV11441484,[],沪杭公路新塘路(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,石南专线,13520620.89,3615734.732,150700,310000,上海市,21,上海市,310120,奉贤区,
763,BV11070584,[],龙皓路蒙山北路(公交站),交通设施服务;公交车站;公交车站相关,金山10路,13507246.64,3600880.356,150700,310000,上海市,21,上海市,310116,金山区,
764,BV10035850,[],海芙路龙皓路(公交站),交通设施服务;公交车站;公交车站相关,石漕线;金山5路,13507969.43,3600970.902,150700,310000,上海市,21,上海市,310116,金山区,
765,BV11064887,[],金山初级中学(公交站),交通设施服务;公交车站;公交车站相关,金山10路,13507787.2,3601098.497,150700,310000,上海市,21,上海市,310116,金山区,
766,BV10529147,[],龙轩路蒙山北路(公交站),交通设施服务;公交车站;公交车站相关,上石线;山阳一路(区间),13507253.87,3600352.894,150700,310000,上海市,21,上海市,310116,金山区,
767,BV10386755,[],长生村(公交站),交通设施服务;公交车站;公交车站相关,(停运)南海线(界河桥),13514622.89,3722348.436,150700,310000,上海市,21,上海市,310151,崇明区,
768,BV10026932,[],新城区教育园区(公交站),交通设施服务;公交车站;公交车站相关,上石线;山阳一路(区间);金山5路,13507945.72,3600612.607,150700,310000,上海市,21,上海市,310116,金山区,
769,BV11393470,[],龙皓路杭州湾大道(公交站),交通设施服务;公交车站;公交车站相关,莲石专线,13507625.9,3601021.422,150700,310000,上海市,21,上海市,310116,金山区,
770,BV10026956,[],杭州湾大道龙轩路(公交站),交通设施服务;公交车站;公交车站相关,莲卫专线,13507620.45,3600680.094,150700,310000,上海市,21,上海市,310116,金山区,
771,BV10690325,[],杭州湾大道龙山路(公交站),交通设施服务;公交车站;公交车站相关,莲卫专线;金山5路,13507845.76,3600085.286,150700,310000,上海市,21,上海市,310116,金山区,
772,BV10035871,[],蒙山北路龙轩路(公交站),交通设施服务;公交车站;公交车站相关,上石线;石漕线;金山8路;金张卫支线,13507098.92,3600062.36,150700,310000,上海市,21,上海市,310116,金山区,
773,BV10024546,[],嫩江码头(公交站),交通设施服务;公交车站;公交车站相关,102路,13531769.88,3673806.863,150700,310000,上海市,21,上海市,310110,杨浦区,
774,BV10385588,[],西新镇(公交站),交通设施服务;公交车站;公交车站相关,南建专线;南牛线;南牛线区间,13498743.5,3734371.918,150700,310000,上海市,21,上海市,310151,崇明区,
775,BV10026969,[],学府路龙胜路(公交站),交通设施服务;公交车站;公交车站相关,塘卫线;朱石专线(金山106路);莲卫专线;虹桥枢纽7路,13505832.43,3596459.153,150700,310000,上海市,21,上海市,310116,金山区,
776,BV10034682,[],学府路卫清西路(公交站),交通设施服务;公交车站;公交车站相关,塘卫线;朱石专线(金山106路);枫戚快线;虹桥枢纽7路;金石线(金山105路),13505693.28,3597150.523,150700,310000,上海市,21,上海市,310116,金山区,
777,BV10934995,[],金山卫镇社区服务中心(公交站),交通设施服务;公交车站;公交车站相关,,13504652.11,3597186.523,150700,310000,上海市,21,上海市,310116,金山区,
778,BV11114433,[],金山卫镇社区事务受理中心(公交站),交通设施服务;公交车站;公交车站相关,金山卫一路,13505092.05,3597162.566,150700,310000,上海市,21,上海市,310116,金山区,
779,BV10035829,[],板桥西路古城路(公交站),交通设施服务;公交车站;公交车站相关,金山2路;金山卫一路;金山卫二路,13505033.27,3597376.498,150700,310000,上海市,21,上海市,310116,金山区,
780,BV11484227,[],板桥西路古城路(临时站)(公交站),交通设施服务;公交车站;公交车站相关,金山卫一路,13505040.06,3597378.182,150700,310000,上海市,21,上海市,310116,金山区,
781,BV11539836,[],平南村(公交站),交通设施服务;公交车站;公交车站相关,南堡支线,13528457.68,3714509.001,150700,310000,上海市,21,上海市,310151,崇明区,
782,BV11549340,[],老灶头(公交站),交通设施服务;公交车站;公交车站相关,旅游花博2号线,13540530.39,3706019.67,150700,310000,上海市,21,上海市,310151,崇明区,
783,BV10031748,[],堡镇北路陈海公路(公交站),交通设施服务;公交车站;公交车站相关,,13540603.74,3705760.602,150700,310000,上海市,21,上海市,310151,崇明区,
784,BV10026079,[],牌楼头(公交站),交通设施服务;公交车站;公交车站相关,堡进线;堡陈中线;堡陈北线,13541081.64,3706623.531,150700,310000,上海市,21,上海市,310151,崇明区,
785,BV11378768,[],牌楼头(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南堡支线,13541092.77,3706642.868,150700,310000,上海市,21,上海市,310151,崇明区,
