OBJECTID,id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
2445,B0FFKDNABE,[],黑山绿地,风景名胜;公园广场;公园,黑山路2号-甲附近,13527875.92,3672637.064,110101,310000,上海市,21,上海市,310110,杨浦区,
2446,B00156NTUA,[],下沉式广场,风景名胜;公园广场;城市广场,淞沪路252-256号,13527109.15,3671831.508,110105,310000,上海市,21,上海市,310110,杨浦区,
2447,B0FFLIMQFV,[],洛克公园(江湾店),风景名胜;公园广场;公园,国和路346号5号门江湾体育场内(地铁10号线),13527326.67,3672696.477,110101,310000,上海市,21,上海市,310110,杨浦区,
2448,B0G3LMGY5X,[],宝菊路广场绿地,风景名胜;公园广场;城市广场,菊联路167附近,13510363.58,3677987.673,110105,310000,上海市,21,上海市,310113,宝山区,
2449,B00155F6HL,B00155E34T,上海市徐汇区长桥街道文化中心,科教文化服务;文化宫;文化宫,罗城路651弄66号,13518205.82,3652067.309,140800,310000,上海市,21,上海市,310104,徐汇区,
2450,B0FFHGFPD9,[],浦东新区村综合文化服务中心,商务住宅;住宅区;社区中心,唐陆公路1241号,13540969.54,3664714.087,120304,310000,上海市,21,上海市,310115,浦东新区,
2451,B0FFGDVL2O,[],洞泾镇健康主题广场,风景名胜;公园广场;城市广场,长兴路451号附近,13499827.42,3643425.736,110105,310000,上海市,21,上海市,310117,松江区,
2452,B00155G9FN,B00156EQHY,高行镇社区文化活动中心,科教文化服务;文化宫;文化宫,东靖路1831号先行国际综合商务楼,13537318.93,3670858.215,140800,310000,上海市,21,上海市,310115,浦东新区,
2453,B001508183,[],青青旅游世界,风景名胜;公园广场;公园,辰花公路388号,13498141.04,3642043.983,110101,310000,上海市,21,上海市,310117,松江区,
2454,B0FFJYNO5X,[],高行文化活动中心,科教文化服务;文化宫;文化宫,新行路340号(近俱进路),13537755.97,3671322.119,140800,310000,上海市,21,上海市,310115,浦东新区,
2455,B00156F51Y,[],宝庆寺,风景名胜;风景名胜;寺庙道观,南门街100号(近城中南路),13482212.89,3651394.074,110205,310000,上海市,21,上海市,310118,青浦区,
2456,B00155L7R1,[],万寿塔,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,东城南门外,13482387.55,3651056.819,110101|110200,310000,上海市,21,上海市,310118,青浦区,
2457,B00155NLK7,[],侨鑫绿地,风景名胜;公园广场;公园,环城东路208号,13482392.56,3651513.214,110101,310000,上海市,21,上海市,310118,青浦区,
2458,B0G16U0P5K,[],青溪公园,风景名胜;公园广场;公园,淀浦河南侧青松路西侧至柘泽塘,13482479.94,3650979.823,110101,310000,上海市,21,上海市,310118,青浦区,
2459,B0FFGDVL6Z,[],新凯二村社区服务站,商务住宅;住宅区;社区中心,新家园路24-26号,13496046.11,3646364.31,120304,310000,上海市,21,上海市,310117,松江区,
2460,B0FFH3LYN5,[],新凯二村居委会综合性文化服务中心,商务住宅;住宅区;社区中心,新家园路176弄53号,13496133.72,3646674.393,120304,310000,上海市,21,上海市,310117,松江区,
2461,B0FFM9B3ST,[],香雪公园,风景名胜;公园广场;公园,老朱青路280号对面,13481547.42,3650875.515,110101,310000,上海市,21,上海市,310118,青浦区,
2462,B0FFK7I76F,[],坦直广场,风景名胜;公园广场;城市广场,坦南路12号正北方向200米,13542152.53,3642238.285,110105,310000,上海市,21,上海市,310115,浦东新区,
2463,B00156GV96,[],谭杨村服务中心,商务住宅;住宅区;社区中心,潘泾路806号附近,13513608.43,3681206.617,120304,310000,上海市,21,上海市,310113,宝山区,
2464,B001558AZY,[],张堰公园,风景名胜;公园广场;公园,花贤路68号,13501202.77,3607273.971,110101,310000,上海市,21,上海市,310116,金山区,
2465,B0FFG8B2QY,[],留溪广场,风景名胜;公园广场;城市广场,新华路与新建路交叉口东南50米,13501444.55,3606974.462,110105,310000,上海市,21,上海市,310116,金山区,
2466,B0FFGLEHSA,[],大境堂,风景名胜;风景名胜;教堂,张堰镇新华中路173弄41号(南社纪念馆对面),13501486.52,3606922.882,110206,310000,上海市,21,上海市,310116,金山区,
2467,B0G0L5G2K3,[],九亭镇北场社区中心综合文化广场,风景名胜;公园广场;城市广场,[],13507641.71,3646314.776,110105,310000,上海市,21,上海市,310117,松江区,
2468,B0HGVMNV9N,[],街心花园,风景名胜;公园广场;公园,沪亭南路东侧,13507830.84,3646365.87,110101,310000,上海市,21,上海市,310117,松江区,
2469,B0FFFE71NC,[],圣堂庙,风景名胜;风景名胜;寺庙道观,博园路与联西路交叉口西150米,13497633.98,3666888.327,110205,310000,上海市,21,上海市,310114,嘉定区,
2470,B00154FPEB,[],董家渡天主堂(装修中),风景名胜;风景名胜;教堂,董家渡路185号,13525820.18,3660657.15,110206,310000,上海市,21,上海市,310101,黄浦区,
2471,B0FFJBQC1J,[],隆庆寺,风景名胜;风景名胜;寺庙道观,新浜镇文兵路690号,13480073.44,3624905.718,110205,310000,上海市,21,上海市,310117,松江区,
2472,B0FFF06QK5,[],国际五金城生活休闲广场,风景名胜;公园广场;城市广场,方德路与泰云路交叉口东南50米,13495687.33,3673220.516,110105,310000,上海市,21,上海市,310114,嘉定区,
2473,B0FFFWUCAW,[],乐活公园,风景名胜;公园广场;公园,张杨北路2899弄金地未未来小区南外围公共绿地,13535109.68,3672346.13,110101,310000,上海市,21,上海市,310115,浦东新区,
2474,B0FFG4GEOW,[],上海市城市学校(少年宫塘桥社区),科教文化服务;文化宫;文化宫,浦东南路2168号,13526985.59,3659731.336,140800,310000,上海市,21,上海市,310115,浦东新区,
2475,B001557HY3,[],龙王庙,风景名胜;风景名胜;寺庙道观,启明村龙王庙1,13547180.28,3668541.564,110205,310000,上海市,21,上海市,310115,浦东新区,
2476,B0FFGWIHV9,[],海粟绿地,风景名胜;公园广场;公园,凯旋路760号,13516210.08,3660073.253,110101,310000,上海市,21,上海市,310105,长宁区,
2477,B0G03CH9N5,[],街心花园,风景名胜;公园广场;公园,延安西路与种德桥路交叉口东北角,13516458.32,3659974.334,110101,310000,上海市,21,上海市,310105,长宁区,
2478,B00156E2UE,[],三泾庙,风景名胜;风景名胜;寺庙道观,长宁路三泾北宅244号,13516054.23,3660634.502,110205,310000,上海市,21,上海市,310105,长宁区,
2479,B00155L7R2,[],五龙禅寺,风景名胜;风景名胜;寺庙道观,朱泾镇金张公路6006号,13489874.01,3614222.885,110205,310000,上海市,21,上海市,310116,金山区,
