id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
BV11254816,[],乐都路谷阳北路(公交站),交通设施服务;公交车站;公交车站相关,松江34路内环;松江34路外环,121.238177,31.013685,150700,310000,上海市,21,上海市,310117,松江区,
BV10035010,[],环城路沪松公路(公交站),交通设施服务;公交车站;公交车站相关,松江2路内环;松江2路外环;松青线;沪松线,121.244308,31.013283,150700,310000,上海市,21,上海市,310117,松江区,
BV10028045,[],谷阳北路乐都路(公交站),交通设施服务;公交车站;公交车站相关,松江17路;松江3路内环;松江3路外环;松江6路;松江7路,121.236313,31.012114,150700,310000,上海市,21,上海市,310117,松江区,
BV10026578,[],松江七中(公交站),交通设施服务;公交车站;公交车站相关,松江23路;松江3路内环;松江3路外环;松江6路,121.236153,31.014996,150700,310000,上海市,21,上海市,310117,松江区,
BV11386443,[],谷阳北路(公交站),交通设施服务;公交车站;公交车站相关,松江6路;松莘线,121.238617,31.017139,150700,310000,上海市,21,上海市,310117,松江区,
BV10028976,[],荣乐路谷阳北路(公交站),交通设施服务;公交车站;公交车站相关,松卫专线;松江1路,121.238602,31.017139,150700,310000,上海市,21,上海市,310117,松江区,
BV10027996,[],谷阳北路中山二路(公交站),交通设施服务;公交车站;公交车站相关,松江17路;松江3路内环;松江3路外环;松江7路;沪松专线,121.236376,31.009245,150700,310000,上海市,21,上海市,310117,松江区,
BV11253328,[],荣乐中路谷阳北路(公交站),交通设施服务;公交车站;公交车站相关,松江6路;松莘线,121.237946,31.016996,150700,310000,上海市,21,上海市,310117,松江区,
BV10028977,[],荣乐路沪松公路(公交站),交通设施服务;公交车站;公交车站相关,松卫专线;松江1路,121.245239,31.01708,150700,310000,上海市,21,上海市,310117,松江区,
BV10027793,[],奉浦大厦(公交站),交通设施服务;公交车站;公交车站相关,奉宝线;奉贤15路;奉贤29路;奉贤3路;奉贤42路;奉贤7路;奉贤8路;浦卫线;莘南专线,121.459808,30.942026,150700,310000,上海市,21,上海市,310120,奉贤区,
BV10999501,[],环城东路奉浦大道(公交站),交通设施服务;公交车站;公交车站相关,航奉专线,121.459813,30.942014,150700,310000,上海市,21,上海市,310120,奉贤区,
BV11478641,[],环城东路奉浦大厦(公交站),交通设施服务;公交车站;公交车站相关,浦卫线,121.459605,30.942426,150700,310000,上海市,21,上海市,310120,奉贤区,
BV10388036,[],奉浦大道远东路(公交站),交通设施服务;公交车站;公交车站相关,奉贤39路(顺);奉贤39路外环;奉贤40路;奉贤7路,121.463073,30.943958,150700,310000,上海市,21,上海市,310120,奉贤区,
BV11125858,[],奉浦大道环城东路(公交站),交通设施服务;公交车站;公交车站相关,奉贤39路(顺);奉贤39路外环;奉贤40路,121.458061,30.942682,150700,310000,上海市,21,上海市,310120,奉贤区,
BV10027792,[],奉浦新村(公交站),交通设施服务;公交车站;公交车站相关,奉宝线;奉贤15路;奉贤29路;奉贤3路;奉贤42路;奉贤7路;奉贤8路;莘南专线,121.460693,30.939245,150700,310000,上海市,21,上海市,310120,奉贤区,
BV11478642,[],奉浦大道远东路(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,浦卫线,121.463073,30.943958,150700,310000,上海市,21,上海市,310120,奉贤区,
BV10999499,[],环城东路韩村路(公交站),交通设施服务;公交车站;公交车站相关,航奉专线,121.461094,30.938299,150700,310000,上海市,21,上海市,310120,奉贤区,
BV10656303,[],远东路航谊路(公交站),交通设施服务;公交车站;公交车站相关,奉贤7路,121.463199,30.947161,150700,310000,上海市,21,上海市,310120,奉贤区,
BV10036729,[],环城东路航谊路(公交站),交通设施服务;公交车站;公交车站相关,奉宝线;奉贤15路;奉贤29路;奉贤3路;奉贤42路;奉贤8路,121.458069,30.947117,150700,310000,上海市,21,上海市,310120,奉贤区,
BV11380681,[],双桥公路双丰路(公交站),交通设施服务;公交车站;公交车站相关,松江79路,121.165117,30.992092,150700,310000,上海市,21,上海市,310117,松江区,
BV11079703,[],惠州路明城路(公交站),交通设施服务;公交车站;公交车站相关,海湾1线,121.557839,30.847439,150700,310000,上海市,21,上海市,310120,奉贤区,
BV11251071,[],荣乐路通波塘站(有轨电车站),交通设施服务;公交车站;电车站,松江有轨电车1号线;松江有轨电车2号线外圈,121.239486,31.017096,150705,310000,上海市,21,上海市,310117,松江区,
BV11254944,[],荣乐路通波塘路站(有轨电车站),交通设施服务;公交车站;电车站,松江有轨电车1号线;松江有轨电车2号线内圈,121.23949,31.017078,150705,310000,上海市,21,上海市,310117,松江区,
BV10620048,[],华志路新府中路(公交站),交通设施服务;公交车站;公交车站相关,华新5路,121.230469,31.232149,150700,310000,上海市,21,上海市,310118,青浦区,
BV10609285,[],新府中路华志路(公交站),交通设施服务;公交车站;公交车站相关,773路;华新8路定班线,121.231956,31.231567,150700,310000,上海市,21,上海市,310118,青浦区,
