id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
B0FFIRWER5,[],上海德心居护理站,医疗保健服务;医疗保健服务场所;医疗保健服务场所,东三里桥路237号,121.514701,31.19904,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFL4S08C,[],珍奥(临沂路店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,西三里桥路6-4号临附近,121.506784,31.199325,090000,310000,上海市,21,上海市,310115,浦东新区,
B0G3OU9LXO,[],益家艾灸馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,[],121.506569,31.199473,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFKMQAE7,[],益丰大药房(上海益丰源惠店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,胜利路836号26幢102-3室,121.701061,31.245251,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFKKYZSZ,[],鸣科医疗,医疗保健服务;医疗保健服务场所;医疗保健服务场所,仁庆路与瑞庆路交叉口西南100米,121.705571,31.24093,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFKDGG6S,[],上海君爱康复医院有限公司,医疗保健服务;医疗保健服务场所;医疗保健服务场所,仁庆路356号2号楼,121.703901,31.245137,090000,310000,上海市,21,上海市,310115,浦东新区,
B001576W3T,[],奉城镇白衣聚村卫生室,医疗保健服务;诊所;诊所,白衣聚村328号,121.663013,30.922711,090300,310000,上海市,21,上海市,310120,奉贤区,
B0G3DS265W,[],上海交通大学附属第一人民医院,医疗保健服务;综合医院;三级甲等医院,[],121.225742,31.041569,090101,310000,上海市,21,上海市,310117,松江区,
B0FFGPRQ6U,[],上海市红十字医院(新松江路),医疗保健服务;综合医院;综合医院,新松江路650号,121.225716,31.040367,090100,310000,上海市,21,上海市,310117,松江区,
B0FFKZGS2X,[],坤济堂,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新松江路888弄98附近,121.21689,31.041388,090000,310000,上海市,21,上海市,310117,松江区,
B0G0ACUFC7,[],坤济堂养生,医疗保健服务;医疗保健服务场所;医疗保健服务场所,[],121.216814,31.041363,090000,310000,上海市,21,上海市,310117,松江区,
B0FFM9C6K5,[],耳净采耳,医疗保健服务;医疗保健服务场所;医疗保健服务场所,方林街道西林北路1761弄35号1-2层,121.216006,31.038169,090000,310000,上海市,21,上海市,310117,松江区,
B0FFK7GH4D,[],王胜根诊所,医疗保健服务;诊所;诊所,[],121.813143,31.09383,090300,310000,上海市,21,上海市,310115,浦东新区,
B0HGR5OBMW,[],平衡态,医疗保健服务;医疗保健服务场所;医疗保健服务场所,[],121.811878,31.092773,090000,310000,上海市,21,上海市,310115,浦东新区,
B001558FAK,[],祝桥镇社区卫生服务中心东海分中心,医疗保健服务;综合医院;卫生院,盐朝公路867号,121.813074,31.094204,090102,310000,上海市,21,上海市,310115,浦东新区,
B0FFM80O5H,[],先进村卫生室,医疗保健服务;诊所;诊所,东翔路63号附近,121.810172,31.094931,090300,310000,上海市,21,上海市,310115,浦东新区,
B0FFLF6JJK,[],新东村卫生室,医疗保健服务;诊所;诊所,东港公路(上海市东海学校东南侧约250米),121.814767,31.088286,090300,310000,上海市,21,上海市,310115,浦东新区,
B001579DW8,[],香塘村中心卫生室,医疗保健服务;诊所;诊所,香长公路3号,121.088165,30.915742,090300,310000,上海市,21,上海市,310117,松江区,
B0FFIVQYLQ,[],颖奕医疗美容门诊部,医疗保健服务;诊所;诊所,博园路6565号四楼及五楼,121.190369,31.273688,090300,310000,上海市,21,上海市,310114,嘉定区,
B0FFI8MHAB,[],上海瑞金广慈门诊,医疗保健服务;诊所;诊所,博园路6565号上海颖奕高尔夫皇冠假日酒店内颖奕健康医疗中心3层,121.19036,31.273508,090300,310000,上海市,21,上海市,310114,嘉定区,
B0FFGQ5257,[],颖奕医疗美容中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,博园路与安研路交叉口东南150米,121.190365,31.273561,090000,310000,上海市,21,上海市,310114,嘉定区,
B0FFJS8ATY,[],易倩龄齿科,医疗保健服务;医疗保健服务场所;医疗保健服务场所,绣川路518号,121.698483,31.18189,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFJP961U,B00156NUUW,爱大爱眼睛养护中心(川沙绿地店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,川沙路5558弄6号绿地东海岸国际广场F1,121.698316,31.183575,090000,310000,上海市,21,上海市,310115,浦东新区,
B0H6G5ZGBW,[],经道堂古法经络,医疗保健服务;医疗保健服务场所;医疗保健服务场所,川沙路5413弄136号,121.702655,31.186208,090000,310000,上海市,21,上海市,310115,浦东新区,
B0H6PRSCTJ,[],艾巢养生馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,川沙路5413弄166号,121.703234,31.18635,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFKV9M1O,[],归真堂中医,医疗保健服务;诊所;诊所,[],121.697173,31.186694,090300,310000,上海市,21,上海市,310115,浦东新区,
B0FFL6DMON,[],上海归真堂中医门诊部,医疗保健服务;诊所;诊所,川环南路828号,121.69707,31.186729,090300,310000,上海市,21,上海市,310115,浦东新区,
B00156GBO0,[],廊下镇南甪村卫生室,医疗保健服务;诊所;诊所,向友支路北50米,121.176443,30.808301,090300,310000,上海市,21,上海市,310116,金山区,
B001570W4F,[],廊下镇南陆社区卫生站,医疗保健服务;诊所;诊所,廊下镇南陆村庄家2002号,121.176383,30.80828,090300,310000,上海市,21,上海市,310116,金山区,
B001503E78,[],崇明区中兴镇社区卫生服务中心,医疗保健服务;综合医院;卫生院,陈彷公路2490号,121.765688,31.519544,090102,310000,上海市,21,上海市,310151,崇明区,
B001570WEA,[],中兴镇中兴村卫生室,医疗保健服务;诊所;诊所,陈访公路2710弄67,121.760527,31.518742,090300,310000,上海市,21,上海市,310151,崇明区,
B0FFF2GI2A,[],毛家社区卫生服务站,医疗保健服务;综合医院;卫生院,毛家路753弄406号,121.386203,31.428237,090102,310000,上海市,21,上海市,310113,宝山区,
B0FFKTX72S,[],香花桥街道社区卫生服务中心香花桥分中心-预防接种门诊,医疗保健服务;诊所;诊所,向阳河路609号,121.136309,31.185984,090300,310000,上海市,21,上海市,310118,青浦区,
B00155816B,[],香花桥街道社区卫生服务分中心,医疗保健服务;综合医院;卫生院,香花桥街道北青公路,121.136021,31.186008,090102,310000,上海市,21,上海市,310118,青浦区,
B0FFJUO6HR,[],桃园村卫生室,医疗保健服务;诊所;诊所,新港镇桃元村823号,121.860898,30.985927,090300,310000,上海市,21,上海市,310115,浦东新区,
