id,parent,name,type,address,location,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
B00156EGJF,[],阳泉公园(装修中),风景名胜;公园广场;公园,阳泉路1401号,"121.464743,31.326721",110101,310000,上海市,021,上海市,310113,宝山区,
B0FFJVJBUP,[],嵩山村文化娱乐中心,体育休闲服务;休闲场所;休闲场所|科教文化服务;文化宫;文化宫,嵩山村552号,"121.246281,31.196851",080500|140800,310000,上海市,021,上海市,310118,青浦区,
B0FFILHEPC,[],外龚天主堂,风景名胜;风景名胜;教堂,合庆镇青四村龚家宅121号,"121.734845,31.229878",110206,310000,上海市,021,上海市,310115,浦东新区,
B0FFH9S1LT,[],浦东新区村(尚博路),商务住宅;住宅区;社区中心,尚博路557号,"121.519922,31.149122",120304,310000,上海市,021,上海市,310115,浦东新区,
B0FFF4FT15,[],下沉式广场,风景名胜;公园广场;城市广场,御青路328弄,"121.570370,31.155689",110105,310000,上海市,021,上海市,310115,浦东新区,
B0FFLNW9KQ,[],休闲公园,风景名胜;公园广场;公园,[],"121.447682,31.080348",110101,310000,上海市,021,上海市,310112,闵行区,
B0G3GRTBV8,[],泗滨绿地,风景名胜;公园广场;公园,[],"121.246590,31.110272",110101,310000,上海市,021,上海市,310117,松江区,
B00150823B,[],洪福寺,风景名胜;风景名胜;寺庙道观,洪东路与洪庙路交叉口西100米,"121.699872,30.929695",110205,310000,上海市,021,上海市,310120,奉贤区,
B00152D5F5,[],青浦区青少年活动中心(城中北路),科教文化服务;文化宫;文化宫,城中北路394号,"121.112510,31.153273",140800,310000,上海市,021,上海市,310118,青浦区,
B0FFH9411P,[],青浦区少年宫,科教文化服务;文化宫;文化宫,青浦镇城中北路394号,"121.112756,31.153252",140800,310000,上海市,021,上海市,310118,青浦区,
B00156LU5N,B0015397C9,上海动物园小卖部,风景名胜;公园广场;公园内部设施|购物服务;便民商店/便利店;便民商店/便利店,虹桥路2381号上海动物园,"121.363993,31.194688",110106|060200,310000,上海市,021,上海市,310105,长宁区,
B0G1SD9DN1,[],南大公园,风景名胜;公园广场;公园,大场路与丰收支路交叉口西北20米,"121.371050,31.306198",110101,310000,上海市,021,上海市,310113,宝山区,
B0FFF2PGUK,[],巽龙禅院,风景名胜;风景名胜;寺庙道观,周市路32附近,"121.581735,31.114312",110205,310000,上海市,021,上海市,310115,浦东新区,
B0FFMEZNVN,[],桃园绿地,风景名胜;公园广场;公园,淞滨路,"121.492681,31.371798",110101,310000,上海市,021,上海市,310113,宝山区,
B00156O9F1,[],天主教上海教区吴淞圣保禄堂,风景名胜;风景名胜;教堂,同济路206号-1号,"121.491468,31.375562",110206,310000,上海市,021,上海市,310113,宝山区,
B0FFL82B9E,[],吴淞火车头广场,风景名胜;公园广场;城市广场,淞浦路557号附近,"121.495211,31.369233",110105,310000,上海市,021,上海市,310113,宝山区,
B0FFHPPAKM,[],般若花,风景名胜;风景名胜;寺庙道观,泰和路198号附近,"121.495777,31.374227",110205,310000,上海市,021,上海市,310113,宝山区,
B0FFK9DB4Y,B00156D018,九里亭街道社区文化活动中心,商务住宅;住宅区;社区中心,九里亭街道涞坊路408号,"121.313620,31.152522",120304,310000,上海市,021,上海市,310117,松江区,
B0FFG56PHU,B00155HU50,同济大学嘉定校区嘉园广场,风景名胜;公园广场;公园广场,曹安公路4800号同济大学嘉定校区,"121.212716,31.282938",110100,310000,上海市,021,上海市,310114,嘉定区,
B0FFFIZTDV,[],甘露寺,风景名胜;风景名胜;寺庙道观,练祁路688号,"121.396034,31.429009",110205,310000,上海市,021,上海市,310113,宝山区,
B0G25ZUGCX,[],临空音乐公园,风景名胜;公园广场;公园,广顺北路592号,"121.348792,31.237536",110101,310000,上海市,021,上海市,310105,长宁区,
B00155193A,[],天主教上海教区傅家天主堂,风景名胜;风景名胜;教堂,浦东大道1115号,"121.532105,31.242085",110206,310000,上海市,021,上海市,310115,浦东新区,
B0FFLC86H7,[],华沁居委会综合文化活动中心,商务住宅;住宅区;社区中心,崧漪一路与秀涓路交叉路口往南约50米,"121.154039,31.140286",120304,310000,上海市,021,上海市,310118,青浦区,
B00155LZ3Z,B0FFI5TBGA,半淞园路街道社区文化活动中心,商务住宅;住宅区;社区中心,西藏南路1360号,"121.487364,31.206860",120304,310000,上海市,021,上海市,310101,黄浦区,
B0FFH0JSBV,[],百家天主堂,风景名胜;风景名胜;教堂,张堰镇百家村4056号,"121.288607,30.812555",110206,310000,上海市,021,上海市,310116,金山区,
B0FFGTHKLT,[],三湘四季社区居委会综合性文化服务中心,商务住宅;住宅区;社区中心,龙马路80号附近,"121.230804,31.055286",120304,310000,上海市,021,上海市,310117,松江区,
B00155IM9H,[],龙华社区文化活动中心,科教文化服务;文化宫;文化宫,龙华西路21弄80号,"121.449519,31.168148",140800,310000,上海市,021,上海市,310104,徐汇区,
B00156R4FJ,[],集心公园,风景名胜;公园广场;公园,梅富路集心公园附近,"121.413505,31.115053",110101,310000,上海市,021,上海市,310112,闵行区,
B0FFG1BSSO,[],闵行市民文化广场,风景名胜;公园广场;城市广场,银都路2341号附近,"121.406431,31.114286",110105,310000,上海市,021,上海市,310112,闵行区,
B0HAM53Q6D,[],叠翠公园,风景名胜;公园广场;公园,[],"121.409234,31.117317",110101,310000,上海市,021,上海市,310112,闵行区,
B0FFL93KHD,[],盐仓社区休闲广场,风景名胜;公园广场;城市广场,南祝路与浦红西路交叉路口南侧,"121.761577,31.086830",110105,310000,上海市,021,上海市,310115,浦东新区,
B0FFK2BH6A,[],海城隍庙,风景名胜;风景名胜;寺庙道观,东川公路与庙车公路交叉口西50米,"121.670218,31.306304",110205,310000,上海市,021,上海市,310115,浦东新区,
