POINT_X,POINT_Y,ID_1
13523798.51,3659870.731,120
13517734.83,3667515.786,121
13518110.31,3666451.807,122
13528845.85,3670552.994,123
13534141.65,3667760.761,124
13519300.2,3651199.758,125
13515353.37,3666984.045,126
13518131.35,3667136.155,127
13527822.71,3651467.561,128
13566880.27,3629710.321,129
13535031.54,3648038.07,130
13523277.98,3662894.204,131
13526387.24,3655963.328,132
13526726.88,3661982.41,133
13510576.43,3659609.383,134
13528473.48,3666660.689,135
13565323.02,3620410.326,136
13538543.89,3654893.842,137
13535561.97,3669284.772,138
13518080.36,3661909.121,139
13521360.39,3658305.59,140
13512324.14,3663182.701,141
13539085.68,3649421.274,142
13556260.61,3635897.959,143
13511465.31,3662576.292,144
13514548.97,3658652.934,145
13554364.17,3638887.367,146
13529134.16,3654820.595,147
13553527.27,3632285.52,148
13514361.07,3653807.408,149
13521602.51,3665115.388,150
13553718.52,3647096.56,151
13529297.8,3673294.394,152
13513586.39,3667376.044,153
13517695.08,3653673.155,154
13526485.98,3650314.84,155
13523574.65,3671226.497,156
13523558.5,3670225.635,157
13517321.05,3661598.655,158
13517119.56,3662242.767,159
13522004.37,3666529.291,160
13524049.98,3667475.543,161
13534260.43,3677597.942,162
13556481.91,3647069.646,163
13520626.68,3672534.396,164
13542285.23,3641549.73,165
13527812.47,3669377.905,166
13523181.69,3667711.922,167
13527992.03,3660051.387,168
13536155.31,3659456.455,169
13509030.87,3662365.137,170
13518974.26,3664376.858,171
13539658.42,3659939.713,172
13522615.74,3671294.5,173
13517585.32,3672215.844,174
13523694.43,3669519.753,175
13521093.33,3667676.497,176
13550519.86,3644728.866,177
13530906.93,3669401.22,178
13513229.84,3660406.329,179
13535991.22,3643358.536,180
13543485.92,3658996.383,181
13542707.02,3659704.785,182
13552845.99,3628268.693,183
13554933.79,3640017.969,184
13519848.56,3668412.751,185
13538424.67,3650836.107,186
13522336.88,3658394.865,187
13518450.94,3659870.861,188
13511957.45,3665885.735,189
13540726.42,3659211.255,190
13536887.57,3666104.374,191
13520695.03,3660923.987,192
13521814.35,3661469.394,193
13551891.99,3629161.382,194
13537893.89,3637180.808,195
13527744.79,3662450.015,196
13548587.36,3657715.819,197
13514420.96,3668190.294,198
13561878.01,3634447.038,199
13524891.78,3655446.658,200
13524433.14,3664436.1,201
13524421.79,3652191.269,202
13547037.79,3658833.702,203
13523178.79,3658605.562,204
13541843.18,3634504.058,205
13527941.15,3661505.712,206
13524415.89,3654750.471,207
13509949.81,3659888.171,208
13509540.15,3660055.682,209
13527634.47,3663449.332,210
13519696.5,3656771.358,211
13529098.76,3666974.539,212
13529989.99,3664671.64,213
13525994.95,3655426.492,214
13515140.86,3651624.291,215
13526962.65,3657244.23,216
13514184.85,3663185.825,217
13524118.55,3668015.9,218
13528058.93,3674149.562,219
13554386.21,3652303.522,220
13513755.38,3666296.581,221
13529356.36,3672487.883,222
13521348.26,3672749.635,223
13526508.36,3658691.065,224
13519981.81,3654454.756,225
13519755.83,3672662.862,226
13517044.87,3655174.345,227
13533887.39,3679150.16,228
13516514.21,3650710.86,229
13516093.2,3650881.368,230
13522918.97,3673466.518,231
13525144.14,3671888.572,232
13520620.56,3658033.605,233
