POINT_X,POINT_Y,ID_1,dist_hospital,dist_transit,env_count_2km,hospital_dist_norm,transit_dist_norm,env_count_norm,AS,HES,CSQI
13530018.82,3669967.715,64,4.378107353655066,46.50556272037355,21,0.0027067251482731473,0.04488940341279895,0.4117647058823529,0.984638471372369,0.4117647058823529,0.8127763417253642
13508329.44,3670374.659,65,113.5966555360645,126.68026681344107,7,0.07023010160828792,0.12227787965112244,0.13725490196078433,0.9141555649788617,0.13725490196078433,0.6810853660734384
13523206.73,3654989.077,66,0.0,154.17040948693597,24,0.0,0.1488126860734368,0.47058823529411764,0.9553561941779689,0.47058823529411764,0.8099258065128134
13511210.17,3659338.019,67,9.513717518050997,258.83406190815987,22,0.00588176953636762,0.2498390717650355,0.43137254901960786,0.920931039795032,0.43137254901960786,0.7740634925624047
13524596.34,3675789.833,68,210.82100991372522,268.2618984577092,4,0.1303381765733606,0.25893927254590354,0.0784313725490196,0.8310814946348763,0.0784313725490196,0.6052864580091193
13538655.88,3659371.467,69,294.0819483677442,88.01908350476008,11,0.18181349633548802,0.08496024811541676,0.21568627450980393,0.8472424781305333,0.21568627450980393,0.6577756170443144
13531778.11,3668265.575,70,5.68151045027888,90.74656977031256,11,0.0035125422868189757,0.08759294889604008,0.21568627450980393,0.9712633357304147,0.21568627450980393,0.7445902173642314
13553751.13,3637801.3,71,0.0010000001639127731,112.69821152472707,9,6.182410282105716e-07,0.10878172814406462,0.17647058823529413,0.9673650487880607,0.17647058823529413,0.7300967106222307
13536458.87,3648449.231,72,23.523505264578887,69.49853123637608,8,0.014543193698074835,0.0670833212797567,0.1568627450980392,0.9696947680274205,0.1568627450980392,0.7258451611486061
13535881.13,3639326.16,73,0.0,676.3225162968456,3,0.0,0.6528189854137203,0.058823529411764705,0.8041543043758839,0.058823529411764705,0.5805550718866481
13530265.84,3668244.866,74,56.53932391739033,196.44833562311837,20,0.03495492402345943,0.18962137154607148,0.39215686274509803,0.918645141719757,0.39215686274509803,0.7606986580273593
13508826.59,3661106.481,75,675.109390073029,395.20455061788266,6,0.41738025505940624,0.38147041913951835,0.11764705882352941,0.5933926957165601,0.11764705882352941,0.45066900464865084
13520220.92,3648558.07,76,70.80824200642957,367.9861736387798,6,0.04377655316830177,0.3551979340219192,0.11764705882352941,0.8627970325756129,0.11764705882352941,0.6392520404499878
13517898.91,3658964.497,77,39.56051098051884,62.542704643177196,33,0.024457926976164942,0.06036922327197602,0.6470588235294118,0.9647686841350918,0.6470588235294118,0.8694557259533877
13519802.14,3667305.978,78,6.004852120471389,131.90894112561602,21,0.003712445340695452,0.12732484729937188,0.4117647058823529,0.9592038340717015,0.4117647058823529,0.7949720956148969
13515807.66,3652023.215,79,0.0,389.4432227797241,22,0.0,0.3759093087176206,0.43137254901960786,0.8872272073847137,0.43137254901960786,0.7504708098751819
13523831.9,3654297.729,80,28.38310626059216,394.2982512818131,22,0.01754759792208297,0.3805956154788424,0.43137254901960786,0.8735379968108892,0.43137254901960786,0.7408883624735048
13521077.97,3668885.94,81,54.634547677971646,319.30115352869063,11,0.03377731339571558,0.30820481362850427,0.21568627450980393,0.8838944365344479,0.21568627450980393,0.6834319879270546
13526725.43,3665769.841,82,0.0,89.40568394124185,29,0.0,0.08629866147340254,0.5686274509803921,0.9741104015579791,0.5686274509803921,0.8524655163847029
13528796.42,3651172.054,83,334.4547319876993,258.6090306640957,5,0.2067736035011316,0.24962186079704834,0.09803921568627451,0.7803719193100933,0.09803921568627451,0.5756721082229477
13519045.06,3657064.266,84,6.292902749126973,154.5883304942501,27,0.0038905300283418264,0.14921608350795035,0.5294117647058824,0.9525118039277756,0.5294117647058824,0.8255817921612075
13544343.08,3657491.213,85,9.205799748689724,44.82612922235962,6,0.0056914021692370444,0.043268333515191014,0.11764705882352941,0.9830355184269768,0.11764705882352941,0.7234189805459426
13538638.29,3675753.864,86,95.06345285575603,47.37735172041173,5,0.05877211720528909,0.04573089603915116,0.09803921568627451,0.9451402491445522,0.09803921568627451,0.6910099391070689
13526297.08,3666772.424,87,33.06367396389248,351.47616172957675,26,0.020441316437263126,0.33926167733369184,0.5098039215686274,0.8839125752938082,0.5098039215686274,0.771679979176254
13520896.86,3670542.442,88,6.8986860341676595,121.25671589179647,9,0.0042650500479695435,0.11704280773692098,0.17647058823529413,0.961901622645345,0.17647058823529413,0.7262723123223297
13517643.65,3662345.479,89,0.0,198.73407988853944,44,0.0,0.1918276817254778,0.8627450980392157,0.9424516954823566,0.8627450980392157,0.9185397162494144
13553661.19,3639015.092,90,216.72982218374432,43.450655472655875,13,0.1339912461478957,0.041940660169844796,0.2549019607843137,0.8936239296455195,0.2549019607843137,0.7020073389871577
13513229.95,3666574.739,91,221.72393574200322,312.0577333788274,18,0.13707881154306265,0.3012131165029223,0.35294117647058826,0.8136808969689794,0.35294117647058826,0.675458980819462
13522702.35,3672325.024,92,68.4820332704435,281.36684345578567,12,0.042338395723265705,0.2715887950612709,0.23529411764705882,0.8888864844753326,0.23529411764705882,0.6928087744268504
13517038.86,3671744.35,93,1.953999999910593,453.4017732831875,7,0.0012080427710545413,0.43764517443568157,0.13725490196078433,0.8678608177295573,0.13725490196078433,0.6486790429989253
13533455.81,3664626.068,94,0.0,186.0533421054936,11,0.0,0.1795876243943213,0.21568627450980393,0.9461237126817036,0.21568627450980393,0.7269924812301336
13559459.71,3621142.599,95,58.62646109811873,128.9154067936436,8,0.036245277648584026,0.12443534414324504,0.1568627450980392,0.9372977024030176,0.1568627450980392,0.703167215211524
13523177.9,3670075.572,96,18.36178556237175,297.55376829909676,16,0.011352007325123738,0.2872131925913695,0.3137254901960784,0.9058896370950025,0.3137254901960784,0.7282403930253252
13533425.75,3666054.629,97,119.02061737795133,236.372985184607,11,0.07358341680473975,0.22815856140992297,0.21568627450980393,0.8800440398137052,0.21568627450980393,0.6807367102225348
13521838.28,3662655.183,98,43.46727975201467,201.4887858129694,42,0.02687325132253296,0.1944866562285686,0.8235294117647058,0.9228427272056563,0.8235294117647058,0.8930487325733711
13517201.38,3670707.232,99,0.0,73.77862156476246,8,0.0,0.07121467009386287,0.1568627450980392,0.9786355989718412,0.1568627450980392,0.7321037428097006
13509684.42,3663406.759,100,0.0,43.562719658170444,7,0.0,0.04204882990562323,0.13725490196078433,0.987385351028313,0.13725490196078433,0.7323462163080543
13527986.13,3664000.709,101,135.95549483634616,193.65393457396988,21,0.08405325114109823,0.18692408140152234,0.4117647058823529,0.8850854997807746,0.4117647058823529,0.743089261611248
13535819.23,3635884.189,102,0.0,399.53318538073205,4,0.0,0.3856486253739972,0.0784313725490196,0.8843054123878008,0.0784313725490196,0.6425432004361664
13524456.41,3671644.556,103,0.0,654.7237391789431,15,0.0,0.6319708080655962,0.29411764705882354,0.810408757580321,0.29411764705882354,0.6555214244238717
13515657.71,3655230.551,104,0.0,225.339189570909,15,0.0,0.2175082117849592,0.29411764705882354,0.9347475364645121,0.29411764705882354,0.7425585696428055
13568372.84,3622639.327,105,896.9714482764858,205.99348636579194,1,0.5545444595610599,0.19883480962228986,0.0196078431372549,0.552168435420571,0.0196078431372549,0.39240025773557613
13519122.98,3648473.027,106,0.0,65.25131909815896,13,0.0,0.06298370807437469,0.2549019607843137,0.9811048875776875,0.2549019607843137,0.7632440095396753
13521357.83,3667245.029,107,0.0,138.12762974867078,17,0.0,0.1333274243239177,0.3333333333333333,0.9600017727028246,0.3333333333333333,0.7720012408919772
13521464.92,3666642.587,108,0.0,220.74039141093297,21,0.0,0.21306923086006513,0.4117647058823529,0.9360792307419804,0.4117647058823529,0.7787848732840922
13522510.21,3670085.732,109,75.6410060495659,322.7316211711882,14,0.04676436568968883,0.3115160658076154,0.27450980392156865,0.8738101242749332,0.27450980392156865,0.6940200281689238
13541633.56,3635703.627,110,101.81121392515567,310.73625048346224,7,0.06294385926315219,0.29993755772407604,0.13725490196078433,0.8659580311985706,0.13725490196078433,0.6473470924272346
13537749.29,3671439.107,111,0.46840153818787905,54.21657997364216,7,0.0002895850011180071,0.05233244772743932,0.13725490196078433,0.9840975561809855,0.13725490196078433,0.730044759914925
13529028.63,3669657.436,112,0.0,173.12650219238208,26,0.0,0.16711001746369658,0.5098039215686274,0.949866994760891,0.5098039215686274,0.8178480728032119
13518682.6,3674008.572,113,0.0,340.81159731037314,12,0.0,0.32896772739669455,0.23529411764705882,0.9013096817809916,0.23529411764705882,0.7015050125408117
13515856.31,3663464.564,114,0.0,197.86028126225563,17,0.0,0.19098424931132443,0.3333333333333333,0.9427047252066026,0.3333333333333333,0.7598933076446218
13528007.5,3655877.323,115,0.0,150.1835647635518,15,0.0,0.14496439200573,0.29411764705882354,0.956510682398281,0.29411764705882354,0.7577927717964437
13515243.83,3664037.295,116,0.0,100.83440942944291,16,0.0,0.09733021638692352,0.3137254901960784,0.9708009350839228,0.3137254901960784,0.7736783016175695
13534432.41,3647665.02,117,91.44007106335971,192.98318751684587,14,0.05653199428754329,0.18627664411716505,0.27450980392156865,0.9045446107635702,0.27450980392156865,0.7155341687109698
13534510.23,3634149.99,118,585.5867471387128,0.0,0,0.36203369331557517,0.0,0.0,0.7465764146790973,0.0,0.5226034902753681
13521628.34,3665912.43,119,356.8665714364285,273.837347708236,25,0.2206295198948425,0.26432096402482075,0.49019607843137253,0.766263046866164,0.49019607843137253,0.6834429563357265
13523798.51,3659870.731,120,90.34412087109757,114.6620549967989,30,0.055854433024872516,0.11067732421259265,0.5882352941176471,0.9276986996188115,0.5882352941176471,0.8258596779684622
13517734.83,3667515.786,121,0.0,179.9060458933601,20,0.0,0.1736539587547151,0.39215686274509803,0.9479038123735855,0.39215686274509803,0.7811797274850392
13518110.31,3666451.807,122,0.0,268.7466934796018,24,0.0,0.25940721999212846,0.47058823529411764,0.9221778340023614,0.47058823529411764,0.7867009543898882
13528845.85,3670552.994,123,0.0,428.0519468949513,21,0.0,0.41317630411949824,0.4117647058823529,0.8760471087641505,0.4117647058823529,0.7367623878996112
13534141.65,3667760.761,124,15.196002763715278,597.0279161846697,10,0.009394790833403803,0.5762800278207469,0.19607843137254902,0.8205396380703933,0.19607843137254902,0.63320127606104
13519300.2,3651199.758,125,11.306776905625114,188.55047282895384,19,0.006990312234079752,0.1819979749387045,0.37254901960784315,0.9405073889545328,0.37254901960784315,0.7701198781505258
13515353.37,3666984.045,126,578.7012129111918,206.5505164447433,10,0.35777677425273685,0.19937248181598974,0.19607843137254902,0.6897445134782871,0.19607843137254902,0.5416446888465657
13518131.35,3667136.155,127,147.90638704666335,235.69549392432228,21,0.09144178181816388,0.227504614296662,0.4117647058823529,0.8677393684382866,0.4117647058823529,0.7309469696715064
13527822.71,3651467.561,128,7.279357732316774,226.51792848611603,6,0.004500396871467566,0.2186459872162822,0.11764705882352941,0.931255926025088,0.11764705882352941,0.6871732658646204
13566880.27,3629710.321,129,11.565677498094361,150.63019194022468,4,0.007150375176335905,0.14539549801404425,0.0784313725490196,0.9513760879723515,0.0784313725490196,0.6894926733453519
13535031.54,3648038.07,130,0.0,205.92226527407672,14,0.0,0.19876606360287863,0.27450980392156865,0.9403701809191364,0.27450980392156865,0.7406120678198661
